time,location_id,temp_max,humidity,precipitation,location_wkt
2026-05-22 03:00:00+00:00,-31.3002_-63.7587,,,,POINT(-63.7586562 -31.300212)
2026-05-23 03:00:00+00:00,-31.3002_-63.7587,,,,POINT(-63.7586562 -31.300212)
2026-05-21 03:00:00+00:00,-31.6756_-61.7517,,,,POINT(-61.7516598 -31.6755638)
2026-05-22 03:00:00+00:00,-31.6756_-61.7517,,,,POINT(-61.7516598 -31.6755638)
2026-05-23 03:00:00+00:00,-31.6756_-61.7517,,,,POINT(-61.7516598 -31.6755638)
2026-05-21 03:00:00+00:00,-27.6316_-65.5769,,,,POINT(-65.5768528 -27.631565)
2026-05-22 03:00:00+00:00,-27.6316_-65.5769,,,,POINT(-65.5768528 -27.631565)
2026-05-23 03:00:00+00:00,-27.6316_-65.5769,,,,POINT(-65.5768528 -27.631565)
2026-05-21 03:00:00+00:00,-27.1670_-64.4909,,,,POINT(-64.4908677 -27.1670114)
2026-05-22 03:00:00+00:00,-27.1670_-64.4909,,,,POINT(-64.4908677 -27.1670114)
2026-05-23 03:00:00+00:00,-27.1670_-64.4909,,,,POINT(-64.4908677 -27.1670114)
2026-05-21 03:00:00+00:00,-24.6529_-64.0272,,,,POINT(-64.0272386 -24.6528628)
2026-05-22 03:00:00+00:00,-24.6529_-64.0272,,,,POINT(-64.0272386 -24.6528628)
2026-05-23 03:00:00+00:00,-24.6529_-64.0272,,,,POINT(-64.0272386 -24.6528628)
2026-05-21 03:00:00+00:00,-30.0040_-61.8392,,,,POINT(-61.8391618 -30.0039552)
2026-05-22 03:00:00+00:00,-30.0040_-61.8392,,,,POINT(-61.8391618 -30.0039552)
2026-05-23 03:00:00+00:00,-30.0040_-61.8392,,,,POINT(-61.8391618 -30.0039552)
2026-05-21 03:00:00+00:00,-24.5444_-64.3121,,,,POINT(-64.3121457 -24.5444364)
2026-05-22 03:00:00+00:00,-24.5444_-64.3121,,,,POINT(-64.3121457 -24.5444364)
2026-05-23 03:00:00+00:00,-24.5444_-64.3121,,,,POINT(-64.3121457 -24.5444364)
2026-05-21 03:00:00+00:00,-32.1382_-60.9845,,,,POINT(-60.9844823 -32.1382161)
2026-05-22 03:00:00+00:00,-32.1382_-60.9845,,,,POINT(-60.9844823 -32.1382161)
2026-05-23 03:00:00+00:00,-32.1382_-60.9845,,,,POINT(-60.9844823 -32.1382161)
