id,occurrence_date,pest_type,severity_level,institution,province,locality,adults_count,infection_percent,geom_wkt
4246,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Santiago del Estero,Frias,0.0,,POINT(-65.1288391 -28.6377023)
4247,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santiago del Estero,Isca Yacu 2,1.0,,POINT(-64.6117067 -27.0261757)
4307,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Santa Fe,Hersilia,7.0,,POINT(-61.8391618 -30.0039552)
4248,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santiago del Estero,Pampa Pozo,1.0,,POINT(-64.5158346 -26.49377)
4249,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Santiago del Estero,Pozo Hondo,0.0,,POINT(-64.4908677 -27.1670114)
4250,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santiago del Estero,,1.0,,POINT(-63.5408542 -27.6431016)
4251,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santiago del Estero,Termas R. Hondo,1.0,,POINT(-64.8640783 -27.4959255)
4252,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Santiago del Estero,Vinará,3.0,,POINT(-64.7961142 -27.3762449)
8257,2025-09-02 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Buenos Aires,Pergamino,0.0,,POINT(-60.5696 -33.8899)
4254,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Catamarca,El Abra,9.0,,POINT(-65.4294044 -28.0819035)
4255,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,CREA,Catamarca,Los Altos,65.0,,POINT(-65.4997332 -28.0468719)
4256,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Catamarca,Frias,10.0,,POINT(-68.3859089 -27.5113574)
4257,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,AAPRESID,Chaco,Tres Isletas,35.0,,POINT(-60.4319 -26.34)
4258,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,AAPRESID,Chaco,Pampa del Infierno,8.0,,POINT(-61.1744 -26.5052)
4259,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,AAPRESID,Chaco,Concepcion del Bermejo,7.0,,POINT(-60.95 -26.6)
4260,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,AAPRESID,Chaco,Villa Angela,25.0,,POINT(-60.7112067 -27.5768225)
4261,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,AAPRESID,Chaco,Las Piedritas,0.0,,POINT(-61.5657582 -26.8236989)
4262,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,INTA,Chaco,Gral. Pinedo,4.0,,POINT(-61.2833 -27.3167)
8258,2025-09-02 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Buenos Aires,Tandil,,,POINT(-59.1356957 -37.3282887)
8259,2025-09-02 03:00:00+00:00,Dalbulus maidis,Unknown,CREA,Buenos Aires,Las Armas,,,POINT(-57.829146 -37.0863026)
4265,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,INTA,Chaco,Las Breñas,28.0,,POINT(-61.0805 -27.0863)
4266,2026-01-21 03:00:00+00:00,Dalbulus maidis,High,INTA,Chaco,Juan José Castelli,35.0,,POINT(-60.6195 -25.9427)
4267,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,INTA,Chaco,Sylvina,0.0,,POINT(-61.1360183 -27.8315753)
4268,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,INTA,Chaco,Basail,5.0,,POINT(-59.2816402 -27.887641)
4269,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Chaco,Bajo Hondo,14.0,,POINT(-60.3375165 -26.9966942)
4270,2026-01-21 03:00:00+00:00,Dalbulus maidis,Zero,CREA,Chaco,Las Piedras,0.0,,POINT(-61.1815185 -27.2280684)
4271,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Chaco,San Bernardo,1.0,,POINT(-60.7128954 -27.2867286)
4272,2026-01-21 03:00:00+00:00,Dalbulus maidis,Low,CREA,Chaco,La Montenegrina,2.0,,POINT(-60.7779551 -26.9940795)
4273,2026-01-21 03:00:00+00:00,Dalbulus maidis,Medium,CREA,Chaco,Santa Teresa Capdevilla,17.0,,POINT(-60.8 -26.3)
